Source,Target
41216797,1.17078E+18
41216797,2439364105
41216797,1061141504
41216797,47602120
41216797,767345894
41216797,1.14607E+18
41216797,38920168
41216797,17354555
41216797,36515907
41216797,307283220
41216797,227062815
41216797,37213193
41216797,19391874
41216797,326255896
41216797,1.1281E+18
41216797,2815077014
41216797,9.81464E+17
41216797,64313421
41216797,9.11297E+17
41216797,583637312
41216797,2200789825
41216797,1.12374E+18
41216797,9.32847E+17
41216797,73426884
41216797,20812392
41216797,8.74078E+17
41216797,18252261
41216797,9.08388E+17
41216797,1441892108
41216797,7.96031E+17
41216797,2329657867
41216797,60664331
41216797,52511000
41216797,823905
41216797,101561169
41216797,7.56422E+17
41216797,53766548
41216797,1.08772E+18
41216797,112333725
41216797,3433516535
41216797,945284660
41216797,2556126589
41216797,2386002810
41216797,103989154
41216797,3363584909
41216797,9.71451E+17
41216797,308593216
41216797,51112072
41216797,15143478
41216797,50393960
41216797,1508946960
41216797,3541536734
41216797,51289884
41216797,37710752
41216797,768092862
41216797,8.3059E+17
41216797,2850858010
41216797,2303751216
41216797,19725644
41216797,130745589
41216797,16017475
41216797,14156241
41216797,11348282
41216797,8143682
41216797,44196397
41216797,108977933
41216797,5943622
41216797,8699902
41216797,216939636
41216797,131607129
41216797,17006157
41216797,3270678680
41216797,48008938
41216797,19739240
41216797,547871798
41216797,35216864
41216797,32807399
41216797,135986860
41216797,264501255
41216797,8381682
41216797,32872183
41216797,16319797
41216797,17076940
41216797,232201624
41216797,55858928
41216797,21457289
41216797,22735859
41216797,2216766078
41216797,7099952
41216797,12456402
41216797,16261754
41216797,58217258
41216797,106840674
41216797,69519838
41216797,300552270
41216797,255590123
41216797,15127356
41216797,28238236
41216797,19784906
41216797,15703086
41216797,72885746
41216797,18779433
41216797,105901317
41216797,50940456
41216797,15075829
41216797,16191100
41216797,15336340
41216797,107864504
41216797,125637896
41216797,88727377
41216797,126988985
41216797,20167623
41216797,17316566
41216797,77434056
41216797,210889328
41216797,55177411
41216797,103898319
41216797,841881
41216797,68320529
41216797,41577808
41216797,30987011
